"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка входа с неверным паролем","1453","Ошибка входа с неверным паролем","","Wed Sep 03 21:28:54 MSK 2025","passed","Wed Sep 03 21:28:56 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthLoginTests","praktikum.tests.stellarburgers.tests.AuthLoginTests","shouldFailLoginWithWrongPasswordTest"
"Регистрация с пустым именем","303","Ошибка регистрации: пустое имя","","Wed Sep 03 21:28:56 MSK 2025","passed","Wed Sep 03 21:28:56 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnMissingNameTest"
"Попытка входа с неверным email","4245","Ошибка входа с неверным email","","Wed Sep 03 21:28:49 MSK 2025","passed","Wed Sep 03 21:28:53 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthLoginTests","praktikum.tests.stellarburgers.tests.AuthLoginTests","shouldFailLoginWithWrongEmailTest"
"Регистрация с пустым паролем","255","Ошибка регистрации: пустой пароль","","Wed Sep 03 21:28:57 MSK 2025","passed","Wed Sep 03 21:28:58 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnMissingPasswordTest"
"Создание заказа с авторизацией и валидными ингредиентами","4009","Успешное создание заказа с авторизацией","","Wed Sep 03 21:28:59 MSK 2025","passed","Wed Sep 03 21:29:03 MSK 2025","","praktikum.tests.stellarburgers.tests.OrderCreateTests","praktikum.tests.stellarburgers.tests.OrderCreateTests","shouldCreateOrderWithAuthAndIngredientsTest"
"Регистрация с пустым email","255","Ошибка регистрации: пустой email","","Wed Sep 03 21:28:59 MSK 2025","passed","Wed Sep 03 21:28:59 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnMissingEmailTest"
"Попытка создать заказ без авторизации","1926","Ошибка создания заказа без авторизации","","Wed Sep 03 21:29:03 MSK 2025","failed","Wed Sep 03 21:29:05 MSK 2025","","praktikum.tests.stellarburgers.tests.OrderCreateTests","praktikum.tests.stellarburgers.tests.OrderCreateTests","shouldFailCreateOrderWithoutAuthTest"
"Создать пользователя, который уже зарегистрирован","1256","Ошибка регистрации: пользователь уже существует","","Wed Sep 03 21:28:56 MSK 2025","passed","Wed Sep 03 21:28:57 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnDuplicateUserTest"
"Успешный вход под существующим пользователем","1501","Успешный вход с корректными данными","","Wed Sep 03 21:28:53 MSK 2025","passed","Wed Sep 03 21:28:54 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthLoginTests","praktikum.tests.stellarburgers.tests.AuthLoginTests","shouldLoginExistingUserTest"
"Создать уникального пользователя","990","Успешная регистрация уникального пользователя","","Wed Sep 03 21:28:58 MSK 2025","passed","Wed Sep 03 21:28:59 MSK 2025","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldRegisterUniqueUserTest"
