"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 00:16:54 MSK 2025","Thu Sep 04 00:16:54 MSK 2025","271","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnMissingPasswordTest","Ошибка регистрации: пустой пароль","Регистрация с пустым паролем"
"passed","Thu Sep 04 00:16:51 MSK 2025","Thu Sep 04 00:16:52 MSK 2025","1372","","praktikum.tests.stellarburgers.tests.AuthLoginTests","","praktikum.tests.stellarburgers.tests.AuthLoginTests","shouldFailLoginWithWrongPasswordTest","Ошибка входа с неверным паролем","Попытка входа с неверным паролем"
"passed","Thu Sep 04 00:16:52 MSK 2025","Thu Sep 04 00:16:54 MSK 2025","1305","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnDuplicateUserTest","Ошибка регистрации: пользователь уже существует","Создать пользователя, который уже зарегистрирован"
"passed","Thu Sep 04 00:16:54 MSK 2025","Thu Sep 04 00:16:55 MSK 2025","1038","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldRegisterUniqueUserTest","Успешная регистрация уникального пользователя","Создать уникального пользователя"
"passed","Thu Sep 04 00:16:52 MSK 2025","Thu Sep 04 00:16:52 MSK 2025","267","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnMissingNameTest","Ошибка регистрации: пустое имя","Регистрация с пустым именем"
"passed","Thu Sep 04 00:16:45 MSK 2025","Thu Sep 04 00:16:49 MSK 2025","4076","","praktikum.tests.stellarburgers.tests.AuthLoginTests","","praktikum.tests.stellarburgers.tests.AuthLoginTests","shouldFailLoginWithWrongEmailTest","Ошибка входа с неверным email","Попытка входа с неверным email"
"passed","Thu Sep 04 00:16:55 MSK 2025","Thu Sep 04 00:16:59 MSK 2025","4125","","praktikum.tests.stellarburgers.tests.OrderCreateTests","","praktikum.tests.stellarburgers.tests.OrderCreateTests","shouldCreateOrderWithAuthAndIngredientsTest","Успешное создание заказа с авторизацией","Создание заказа с авторизацией и валидными ингредиентами"
"passed","Thu Sep 04 00:16:55 MSK 2025","Thu Sep 04 00:16:55 MSK 2025","255","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","","praktikum.tests.stellarburgers.tests.AuthRegisterTests","shouldFailOnMissingEmailTest","Ошибка регистрации: пустой email","Регистрация с пустым email"
"passed","Thu Sep 04 00:16:49 MSK 2025","Thu Sep 04 00:16:51 MSK 2025","1404","","praktikum.tests.stellarburgers.tests.AuthLoginTests","","praktikum.tests.stellarburgers.tests.AuthLoginTests","shouldLoginExistingUserTest","Успешный вход с корректными данными","Успешный вход под существующим пользователем"
"failed","Thu Sep 04 00:16:59 MSK 2025","Thu Sep 04 00:17:01 MSK 2025","1506","","praktikum.tests.stellarburgers.tests.OrderCreateTests","","praktikum.tests.stellarburgers.tests.OrderCreateTests","shouldFailCreateOrderWithoutAuthTest","Ошибка создания заказа без авторизации","Попытка создать заказ без авторизации"
